ANIO,TRIMESTRE,SCORE_POLITICO_BRUTO,SCORE_MATERIAL_BRUTO,PESO,N_MUESTRA,ANCLAJE_SIN_SIMPATIA,ANCLAJE_NINGUN_PARTIDO,ANCLAJE_NINGUN_LIDER,FECHA,PRESION_AGENDA,SCORE_POLITICO_AJUSTADO,INDICE_ANCLAJE,INDICE_DESAFECCION_FINAL
2016,1,0.8466603951081844,38.539174842091114,7441.0,7441,0.20352564102564102,,,2016-01-01,0.3853917484209111,1.3775610609406772,20.352564102564102,8.64902187809055
2016,2,2.648163046393135,37.65352641458836,7458.0,7458,0.23493975903614459,,,2016-04-01,0.3765352641458836,4.247494515893157,23.49397590361446,10.986488189281665
2016,3,4.901329037454692,34.663713250100685,2483.0,2483,,,,2016-07-01,0.34663713250100686,7.501695124206375,,4.901329037454692
2016,4,2.623589468027942,36.74368619022031,7444.0,7444,0.2557205941389,,,2016-10-01,0.3674368619022031,4.147553516819571,25.572059413890003,11.802977446372767
2017,1,1.752411575562701,36.97079314040729,7464.0,7464,0.27389558232931727,,,2017-01-01,0.3697079314040729,2.780316718035923,27.389558232931726,12.007270238510312
2017,2,1.3721023717003886,35.03416856492027,7463.0,7463,0.26926163723916535,,,2017-04-01,0.3503416856492027,2.1120369606468117,26.926163723916535,11.593726912586847
2017,3,3.123996789727127,35.01203852327448,4984.0,4984,0.2461847389558233,,,2017-07-01,0.35012038523274475,4.8070392096326025,24.61847389558233,11.721787632069208
2017,4,10.569509738079248,31.344526527871054,7445.0,7445,0.28990751909931645,,,2017-10-01,0.3134452652787105,15.39499941307665,28.990751909931646,17.938006606820206
2018,1,4.741518578352181,32.394991922455574,4952.0,4952,,,,2018-01-01,0.32394991922455574,7.0135611446322965,,4.741518578352181
2018,2,4.239978477266613,30.983319881624965,7434.0,7434,0.2866991078669911,,,2018-04-01,0.30983319881624966,6.143411230436393,28.66991078669911,14.011951401039612
2018,3,5.048561480667034,35.246472420744,5457.0,5457,0.2657137621403702,0.34286675639300135,,2018-07-01,0.35246472420743996,7.796581390083767,30.429025926668572,15.20074725906765
2018,4,5.0789385287201885,32.58761616840219,8931.0,8931,0.22461090583361326,0.32292016571492554,,2018-10-01,0.32587616168402195,7.534132810683322,27.376553577426943,13.99798454820289
2019,1,4.265076432051067,33.01024693431883,5953.0,5953,0.2266084327229968,0.3186628590626575,,2019-01-01,0.33010246934318827,6.366759447328167,27.26356458928272,13.464471694943729
2019,2,3.827823460312133,36.747776472562514,5959.0,5959,0.17116965933881523,0.29988253062594394,,2019-04-01,0.36747776472562516,6.051682054547384,23.55260949823796,11.717737875482463
2019,3,2.400948188283102,34.78665763630207,5906.0,5906,0.20809346427362005,0.3184896715204876,,2019-07-01,0.34786657636302065,3.681682461378684,26.329156789705383,11.972231628852015
2019,4,7.423641979678962,33.57330999191473,4804.99787,4805,0.18629199933443466,0.22785898342135996,,2019-10-01,0.33573309991914735,11.17569154623748,20.707549137789734,12.73720484292327
2020,1,3.5807419849012514,33.87096213521424,9796.9972,9797,0.13900951405804218,0.1710493425475308,,2020-01-01,0.33870962135214244,5.414780103443824,15.502942830278649,8.34962232305221
2020,2,1.93110421618318,18.44451720682939,11058.00294,11058,0.11432964947285498,0.1864638851325898,,2020-04-01,0.1844451720682939,2.3678410697176195,15.03967673027224,7.174533221818804
2020,3,5.299865229110512,18.151954177897576,5936.0,5936,0.23130053908355794,0.244777628032345,,2020-07-01,0.18151954177897575,6.475249562622209,23.803908355795148,12.701482479784366
2020,4,6.048962065941892,16.03795480570309,10593.99864,10594,0.09641589212059781,0.10130063788643266,,2020-10-01,0.16037954805703092,7.204400574025995,9.885826500351524,7.583707839705745
2021,1,4.888241204380295,15.268925411721984,11551.005519,11551,0.24696538152524103,0.26239988103324874,0.40190944289922004,2021-01-01,0.15268925411721984,5.76912452501405,30.375823515256993,15.083274128730976
2021,2,4.821541198793286,20.271888633335248,11450.993121,11451,0.23912952562850465,0.25275930222087506,0.3905955987168915,2021-04-01,0.20271888633335247,6.047479510231103,29.416147552209043,14.659383740159589
2021,3,5.05744276957527,22.128990109486136,7576.94403,7577,0.24481733963659755,0.25582562208790666,0.367794944632843,2021-07-01,0.22128990109486135,6.494641300640639,28.947930211911572,14.613637746509792
2021,4,4.595124603751198,25.06709149022591,11172.42809,11172,0.20907673436634308,0.22230350734797164,0.29258713089644955,2021-10-01,0.25067091490225907,6.132318490148849,24.132245753692143,12.409973063727577
2022,1,3.67822197144626,24.072860701811432,7781.99696,7782,0.2038107426862835,0.21598567548142558,0.34625969321889843,2022-01-01,0.24072860701811433,4.844410056068072,25.53520371288692,12.421014668022524
2022,2,3.2270343593790645,21.968772881045535,11137.99901,11138,0.07287124188745998,0.14498386097450372,0.4256652362550354,2022-04-01,0.21968772881045534,4.135567872666697,21.450677970566634,10.516491803854093
2022,3,2.656873381694204,20.449637965664174,7825.16662,7825,0.0,0.0,0.42836260910186214,2022-07-01,0.20449637965664175,3.3398633441132977,14.278753636728739,7.305625483708019
2022,4,2.3768965080107054,20.399393069738203,11405.0006,11405,0.0,0.0,0.42978422026562635,2022-10-01,0.20399393069738203,2.9860281217366946,14.326140675520879,7.156594175014775
2023,1,2.0989293972783813,19.756223925070454,11682.63703,11683,0.0,0.0,0.4392469753894255,2023-01-01,0.19756223925070454,2.615691209893283,14.641565846314183,7.115983976892703
2023,2,2.0844906265279137,23.348777331052606,8189.00449,8189,0.0,0.0,0.4073005264648475,2023-04-01,0.23348777331052606,2.719448632320869,13.576684215494916,6.681368062114714
2023,3,2.2845157691412927,22.341789208832243,4163.68043,4164,0.0,0.0,0.3012446130501903,2023-07-01,0.2234178920883224,2.9417568932725344,10.04148710167301,5.3873043021539795
2023,4,4.739368510104012,20.317486190652517,12731.99912,12732,0.0,0.0,0.339160142826023,2023-10-01,0.20317486190652517,5.94781500172506,11.305338094200767,7.365756343742714
2024,1,3.2745813769108163,19.1071015044584,11872.00522,11872,0.0,0.0,0.4066829091235861,2024-01-01,0.19107101504458399,4.048045548882508,13.556096970786205,7.387187614460972
2024,2,2.6654675217211894,23.280137249749995,12056.00156,12056,0.0,0.0,0.4126989993521534,2024-04-01,0.23280137249749994,3.4742860925054297,13.756633311738446,7.101933837728092
2024,3,2.8080343177935863,26.237303632018936,8034.0013500000005,8034,0.0,0.0,0.43390447525877,2024-07-01,0.2623730363201894,3.8068487949316596,14.463482508625667,7.4702135941264185
2024,4,2.0222080057691683,27.195508808661433,12635.00032,12635,0.0,0.0,0.47979174724706297,2024-10-01,0.27195508808661434,2.7775868942680657,15.993058241568766,7.610548100089008
